# Rime user dictionary
#@/db_name	zzdyx_mod
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	767
#@/user_id	51f52ce6-8ac7-40dc-9ee8-cd3eec19048d
a 	以	c=6 d=2.68056 t=671
ai 	啊	c=9 d=4.42612 t=705
ao 	岸	c=1 d=1 t=442
b 	不	c=27 d=8.57747 t=752
bgyd 	表演	c=2 d=1.92774 t=258
bhf 	病	c=1 d=1 t=47
bhfl 	病房	c=1 d=1 t=203
bi 	吧	c=1 d=1 t=270
bij 	卟	c=1 d=1 t=546
birj 	别人	c=2 d=1.98511 t=550
biso 	别墅	c=1 d=1 t=576
biu 	别	c=1 d=1 t=529
bjca 	保存	c=1 d=1 t=137
bk 	把	c=2 d=1.7827 t=184
bkyw 	抱怨	c=6 d=5.57046 t=229
blk 	必	c=1 d=1 t=70
bs 	比	c=1 d=1 t=632
btjl 	笔记	c=1 d=1 t=133
ccv 	楚	c=1 d=1 t=51
cgo 	蠢	c=1 d=1 t=187
ch 	次	c=1 d=1 t=233
chs 	瓷	c=1 d=1 t=621
ci 	吃	c=2 d=1.08416 t=740
cj 	尝	c=1 d=1 t=451
cki 	操	c=1 d=1 t=427
ckq 	拆	c=1 d=1 t=448
clpy 	词频	c=1 d=1 t=284
cmxl 	慈禧	c=1 d=1 t=695
curj 	超人	c=1 d=1 t=39
cvki 	出口	c=2 d=1.77105 t=391
cvlh 	出来	c=4 d=1.63913 t=472
cvn 	肠	c=1 d=1 t=426
cw 	处	c=1 d=1 t=251
cwsa 	处死	c=1 d=1 t=17
cyf 	错	c=1 d=1 t=703
cyjo 	餐具	c=2 d=1.67706 t=674
d 	的	c=31 d=9.79017 t=629
dasu 	大声	c=1 d=1 t=208
dbcv 	导出	c=1 d=1 t=140
dcu 	杜	c=1 d=1 t=40
ddjw 	豆角	c=1 d=1 t=452
df 	都	c=8 d=5.74025 t=401
dfo 	带	c=1 d=1 t=128
dghd 	动画	c=1 d=1 t=75
dgx 	毒	c=1 d=1 t=697
dj 	但	c=2 d=1.85214 t=545
djrw 	当然	c=1 d=1 t=651
dl 	对	c=3 d=1.22964 t=702
ds 	到	c=2 d=1.99005 t=437
du 	地	c=2 d=1.98511 t=315
duiu 	地址	c=1 d=1 t=415
dw 	多	c=5 d=3.32958 t=230
e 	而	c=1 d=1 t=165
e 	而且	c=1 d=1 t=326
er 	遏	c=1 d=1 t=175
ewt 	饿	c=1 d=1 t=59
f 	分	c=2 d=1.956 t=689
fhkw 	疯狂	c=1 d=1 t=149
fht 	放	c=3 d=2.25756 t=627
fhuh 	放弃	c=1 d=1 t=105
fljj 	房价	c=2 d=1.81058 t=568
fm 	父	c=1 d=1 t=679
fml 	翻	c=1 d=1 t=578
fmsk 	分手	c=1 d=1 t=332
fngj 	逢年过节	c=1 d=1 t=222
fqdl 	反对	c=1 d=1 t=693
fv 	服	c=1 d=1 t=676
fvwu 	服务器	c=1 d=1 t=414
fw 	饭	c=1 d=1 t=463
fwhj 	饭盒	c=1 d=1 t=630
fwm 	风	c=2 d=1.90937 t=97
g 	个	c=31 d=9.60232 t=688
g 	过	c=13 d=5.45343 t=532
gb 	敢	c=1 d=1 t=256
gc 	格	c=1 d=1 t=126
gcbf 	根本	c=2 d=1.57121 t=501
gcf 	杠	c=1 d=1 t=735
gcss 	格式	c=1 d=1 t=146
gfjo 	工具	c=1 d=1 t=114
gfk 	更	c=2 d=1.8311 t=533
gfnl 	功能	c=1 d=1 t=25
ggjd 	归根结底	c=1 d=1 t=392
gh 	高	c=1 d=1 t=682
gjhj 	供货	c=1 d=1 t=379
gkf 	拱	c=1 d=1 t=311
gkh 	搞	c=1 d=1 t=231
gni 	宫	c=2 d=1.9802 t=60
goch 	国产	c=1 d=1 t=432
godn 	固定	c=1 d=1 t=283
goid 	果汁	c=1 d=1 t=420
goim 	贵州	c=1 d=1 t=421
goo 	贵	c=3 d=2.64586 t=535
gouh 	国庆	c=1 d=1 t=586
gw 	够	c=2 d=1.19691 t=678
